"transaction_id","transactiondate","transaction_datetime","amount_gbp","fee_charged_gbp","transaction_status","is_flagged_fraud","device_type","fx_rate_used","failed_reason","transaction_type_id","type_name","channel","is_domestic","typical_fee_gbp","merchant_category_id","category_name","sector","risk_flag","customer_id","customer_name","age_band","region","customer_segment","kyc_verified","account_open_date","weekday","weekno","accage","amtbucket","accage_bucket","fx_rate_check","fee_charge_check"
1491,"2026-02-18","2/18/2026 10:14","56.30","0.00","Pending",False,"Android",NULL,NULL,6,"Transfer - International","Web Browser",False,"2.50",15,"Peer-to-Peer Transfer","Financial","Medium",11,"Grace Elliott","35-44","East of England","Standard",True,"2021-08-27","Wednesday","Week 3","4.78","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
7,"2026-04-21","4/21/2026 5:44","15.44","0.00","Pending",False,"Android",NULL,NULL,7,"ATM Withdrawal","ATM Network",True,"0.00",7,"Health & Pharmacy","Retail","Low",7,"Priya Sharma","18-24","South West","Starter",False,"2023-06-22","Tuesday  ","Week 3","2.96","Below 5000","New Customer (<3 Years)","Not Applicable","Followed Standard"
8,"2026-05-24","5/24/2026 21:44","63.64","0.00","Reversed",False,"Web",NULL,NULL,8,"ATM Withdrawal","ATM Network",False,"1.50",8,"Gambling","Leisure","High",8,"Thomas Hughes","55-64","Wales","Standard",True,"2020-04-05","Sunday   ","Week 4","6.17","Below 5000","Established Customer (3-7 Years)","FX Rate Not Applied","Below Typical"
9,"2026-03-25","3/25/2026 9:10","545.45","0.00","Completed",False,"iOS",NULL,NULL,9,"Direct Debit","Automated",True,"0.00",9,"Crypto Exchange","Financial","High",9,"Isabelle Fontaine","25-34","North East","Premium",True,"2022-01-19","Wednesday","Week 4","4.38","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
10,"2026-04-22","4/22/2026 10:35","84.09","1.68","Declined",True,NULL,NULL,NULL,10,"Standing Order","Automated",True,"0.00",10,"Fuel","Retail","Low",10,"Mohammed Al-Hassan","45-54","London","Business",True,"2018-12-01","Wednesday","Week 4","7.52","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
11,"2026-02-21","2/21/2026 18:21","64.83","0.00","Pending",False,"Android",NULL,NULL,11,"Salary Credit","Automated",True,"0.00",11,"Clothing & Fashion","Retail","Low",11,"Grace Elliott","35-44","East of England","Standard",True,"2021-08-27","Saturday ","Week 3","4.78","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
12,"2026-05-02","5/2/2026 20:07","2545.45","0.00","Reversed",False,"Web",NULL,NULL,12,"Card Refund","Mobile App",True,"0.00",12,"Electronics","Retail","Medium",12,"Ethan Clarke","25-34","South East","Starter",True,"2023-03-11","Saturday ","Week 1","3.24","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
13,"2026-02-22","2/22/2026 8:34","105.45","0.00","Completed",False,"iOS",NULL,NULL,13,"Crypto Purchase","Mobile App",True,"1.00",13,"Salary / Income","Financial","Low",13,"Fatima Noor","18-24","Midlands","Starter",False,"2024-02-14","Sunday   ","Week 4","2.31","Below 5000","New Customer (<3 Years)","Not Applicable","Below Typical"
14,"2026-03-27","3/27/2026 16:54","772.73","2.27","Declined",False,NULL,"1.1500","Card Limit Exceeded",14,"Savings Pot Transfer","Mobile App",True,"0.00",14,"Loan & Credit","Financial","Medium",14,"Samuel Whitmore","55-64","Yorkshire","Business",True,"2017-05-30","Friday   ","Week 4","9.02","Below 5000","Long-Term Customer (7+ Years)","Not Applicable","Above Typical"
15,"2026-02-27","2/27/2026 15:45","31.94","0.00","Pending",False,"Android",NULL,NULL,15,"Loan Repayment","Automated",True,"0.00",15,"Peer-to-Peer Transfer","Financial","Medium",15,"Layla Singh","25-34","London","Premium",True,"2022-07-04","Friday   ","Week 4","3.93","Below 5000","Established Customer (3-7 Years)","Not Applicable","Followed Standard"
